"I purchased this for my Wife at Christmas and she was on her last jar so she went to a local store (starts with M end in ys) and bought another jar. Let me warn you the item sold is not what you would get from a reputable retailer. A side by side comparison showed that the product sold here is at best watered down. She noticed marked improvement over the past few days and has been using a fraction of what she was using with this forgery. Do yourself a favor and spend a few extras $ on the real thing, you are just wasting your money here. Caveat emptor, next time I will be more careful.",1.0
"Good product, arrive on time",5.0
I love this product.  Used it for years,5.0
Didnt seem like real product,1.0
The best moisturizer for older women.,5.0
Fast shipping by supplier and great value.,5.0
On-time delivery and excellent product.,5.0
Great price for a great product!!,5.0
good,5.0
Everithing ok,5.0
"Have been using this for years, it does not disappoint",5.0
Keeps my skin moist and wrinkle free.,5.0
Cert good,5.0
Awesome product my skin looks great,5.0
bottle despenser is hard to use.,3.0
"Good, but expensive",4.0
"Very thin liquid, won't get it again.  I'll stick to Macy's.",2.0
Estee Lauder Perfectionist is just what I wanted.,5.0
Good price for the product.,4.0
Thanks a lot...!!!,5.0
"I love this Estee Lauder product but the version from Amazon is a fraud. It is not the same product and a complete waste of money. The bottle is even a cheap version. The amazon product is just like a weak lotion - it does not smell the same, it does not feel the same, and does not work the same. I was ripped off. Go to the Estee Lauder web site to get the real products and free shipping. BUYER BE AWARE!",1.0
I beleive the produc is fake. I have been using Estee Lauder Perfectionist for the past 15 years. I still have my previous bottle so I have compared the two products. The one I just purchased smells like body milk while the one I had at home have the usual characteristics nice smell of Perfectionist. I dont know how it is posible since the bottle seems normal.. but the product inside is definitely not perfectionist.,1.0
Can't wait to try it ;),5.0
"The bottle arrived with the spring broken, which is very frustrating as I have to open it in order to use the serum and thus I am using a bigger amount than by using the normal way of pressing it. I am using this product for many years.",1.0
This is NOT  the same product I bought from Estee Lauder. It does NOT work at all! It is almost like just water.,1.0
"The genuine bottle came in a genuine box, but in the bottle was a substance that was ANYTHING BUT Estee Lauder Perfectionist [CP+R] product.  I regret not having read these reviews prior finalizing my order.",1.0
"I have used this product for over 14 years. I purchased it, for the first time, from Amazon and received it Monday. The serum in this bottle is NOT the perfectionist you get at an Estee Lauder counter. It feels sticky and is a thick white solution, It smells like Oil of Olay.  I am very disappointed and will NOT ever buy anything else from AMAZON!  BEWARE!!!!",1.0
"I purchased this at a local department store and have been using this for 3 months. The first two months I used twice a day as the instructions state. I stopped using it twice daily because there was no noticeable long term differencel. However, it does appear to smooth wrinkles temporarily when used before applying makeup. I use this in conjunction with a Clarins product, Instant Smooth, which literally fills in the wrinkles.I gave three stars because it does smooth the wrinkles long enough for daily use, but I didn't see any long term wrinkle improvement.",3.0
This was filled up with something else - would not buy this ever again,1.0
"Do you ever just want to put something nice on your face that will make you feel wonderful. I love this moisturizer, It does everything it should.  It makes your skin feel so supple and soft.  I love how it makes me feel.",5.0
"i'm using this for years.this time i'm getting this for my mom and aunt.they both love themnice quality, you'll see after you put it on your skin.your skin will tell you the truth",5.0
"The absolute best in anti-aging serums, hands-down.  I've bought and tried EVERYTHING out there at EVERY price.  I always come back to Perfectionist.  Buy it.  You'll love it.",5.0
ok,5.0
"Estee Lauder provided a refund for this product and another one I bought from their website. This product made my wrinkles worse. Don't know if it takes time to see results, but very embarrassing to use product since it just wasn't right for my skin. Unfortunately I bought this on amazon and didn't get item refunded.",1.0
Love this! Feels great on my face and neck.,5.0
The consistency and texture  are very different from what it's supposed to be . I've been using this product for years. I would not recommend buying from this company . I think they put something else in that bottle,1.0
Used it for years. High end.,4.0
fake,1.0
This is an amazing product. I have deep grooves above my lip. This plumps it out so that it's hardly noticeable. I do put a heavy film on and it melts into my skin. Love it and will never be without it again.,5.0
I wished I read reviews before I bought i want the real thing not s fake for the money I spent how can you b sure ugh,1.0
regular lotion place in the bottle. don't order from Jellybean company.,1.0
My wife swears by this stuff. I will be purchasing more.,5.0
I've purchased this product at the store and it is excellent.  It is much less expensive through Amazon.  I have used Estee Lauder products for years and feel they are excellent and keep my skin looking good for my age.,5.0
as  expected,5.0
good price,5.0
love it,5.0
DO NOT BUY THIS. The product inside the bottle is NOT Estée Lauder Perfectionist. They are using the bottle and filling it with something else.,1.0
Best ever ... I use it regularly and my skin is always smooth. Great to be used before putting make up on.,5.0
it is good,5.0
"So far so good. Just started using. It goes on smoothly and unsented (which I prefer).  I expect it to wait a month or so to see significant improvement, because I've only been using it a couple weeks.",5.0
Good,5.0
I've been using Estee Lauder Perfectionist Wrinkle Cream for a few weeks and it does seem to be doing an excellent job of reducing/smoothing the wrinkles.,5.0
I love skin care products. This is an amazing serum. It doesn't leave your skin feeling oily.,5.0
"Great deal, great product, great seller!",5.0
It's not the same as the ones from stores.This is an oily watered down milky substance and smells weird.Waste of money...A SCAM,1.0
"I have used this product for quite a while and love it.  It was a little cheaper on line, so that's why I ordered it.",5.0
"My wife thinks this stuff is the greatest thing since popcorn!  Yes, she rants and raves about it, so it must be good.  She has been using this for a long time and swears by it, even though I think it is pricey.  As they say, a woman's vanity has few boundaries, but I'm a man, so what do I know?",5.0
I have used this product for several yrs. and will not use anything else. It makes my skin so soft and since i have dry skin it also has lots of moisturizer in it. I would highly recommend it.,5.0
It's always good to my skin. This is the second one.,5.0
"Definitely worth it! I've tried so many different products ranging from Olay all the way to La Prarie. None of them have given me the kind of results as this serum. I'm in my 20s and just started seeing the first signs of smile lines. After a couple of months of using this product, my skin has a beautiful glow and the smile lines have completely gone away. Couldn't be any happier with this product.",5.0
Excellent! Just what I ordered. Will order again when needed.,5.0
My skin instantly feels smooth and soft after putting this on... Love it.,5.0
Always use it. Its great.,5.0
Great product,4.0
Necessary beauty product at a good price.,5.0
The price was good here....,5.0
"this is a another great product, it smooths the appearance of lines while building collagen. Received the product right away andas listed",5.0
"Love it,but a bit pricy. Best thing is us just use a little bit.",5.0
My wife said looks like regular lotion placed in the bottle!!  Direct to the garbage,1.0
I just love the price!!!!,5.0
Love this product!,5.0
Hated the product.,1.0
